PARTY_ID;TYPE;VOTES_PERCENT;UPDATE_STATUS;UPDATE_TIME
DK01;PARTY;14.72;FINAL;2024-06-12 11:28
DK02;PARTY;15.57;FINAL;2024-06-12 11:28
DK03;PARTY;17.42;FINAL;2024-06-12 11:28
DK04;PARTY;6.37;FINAL;2024-06-12 11:28
DK05;PARTY;7.08;FINAL;2024-06-12 11:28
DK06;PARTY;8.84;FINAL;2024-06-12 11:28
DK07;PARTY;7.04;FINAL;2024-06-12 11:28
DK08;PARTY;2.66;FINAL;2024-06-12 11:28
DK09;PARTY;6.95;FINAL;2024-06-12 11:28
DK10;PARTY;5.95;FINAL;2024-06-12 11:28
DK11;PARTY;7.39;FINAL;2024-06-12 11:28
DK90;PARTY;0.0;FINAL;2024-06-12 11:28
