PARTY_ID;TYPE;VOTES_PERCENT;UPDATE_STATUS;UPDATE_TIME
HU01;PARTY;44.9;PROVISIONAL;2024-06-12 11:28
HU02;PARTY;3.67;PROVISIONAL;2024-06-12 11:28
HU03;PARTY;1.0;PROVISIONAL;2024-06-12 11:28
HU04;PARTY;6.73;PROVISIONAL;2024-06-12 11:28
HU05;PARTY;3.56;PROVISIONAL;2024-06-12 11:28
HU06;PARTY;0.87;PROVISIONAL;2024-06-12 11:28
HU07;PARTY;0.64;PROVISIONAL;2024-06-12 11:28
HU08;PARTY;29.53;PROVISIONAL;2024-06-12 11:28
HU09;PARTY;8.06;PROVISIONAL;2024-06-12 11:28
HU10;PARTY;0.68;PROVISIONAL;2024-06-12 11:28
HU11;PARTY;0.36;PROVISIONAL;2024-06-12 11:28
HU90;PARTY;0.0;PROVISIONAL;2024-06-12 11:28
